"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"85","01109.HK",0.995507892673963,0.00586855856326903,0.0725716528462877,2.38237918392218e-244,0.176230727639427
"86","00111.HK",1.00360311393086,0.00131227836380113,0.101079792310724,4.6901682353893e-218,3.22110878378741e-13
"87","01110.HK",1.00250004784691,-0.00617131971157169,0.112704982214656,1.1569121584003e-110,4.48508984714361e-16
"88","01112.HK",1.00088352619103,0.00221490180477809,0.118333527359602,3.3244240031894e-107,0.619910975502339
"89","01113.HK",1.00763806614512,0.00679274983633526,0.0440942025280934,1.47110854585077e-100,0.116790054581792
"90","01115.HK",1.04571524787903,0.0165061194252755,0.122886997391784,1.96909761614551e-103,1.92175748972841e-09
"91","01117.HK",1.00733067465066,-9.63731618198356e-05,0.0914440479793541,1.29416135516673e-122,0.00068303706825794
"92","01118.HK",1.00691206787612,0.0157340219429681,0.0736734748128278,4.74801798762877e-244,1.47626280439419e-07
"93","01119.HK",1.01398472005995,0.019032630655145,0.119281878651424,3.03907583917213e-33,0.137267425328328
"94","01120.HK",1.00218015559032,-0.0037015696344841,0.065696315330138,5.3165536463154e-253,0.000186158125448876
