"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1632","07322.HK",0.979453105225471,-0.0385222096699145,0.0622502804704817,2.21090882141699e-68,0.898736703170466,2.84404016246816e-05,0.99504976856787,2016-10-01
"1633","00733.HK",1.00416606400497,0.00515006871929226,0.105797135756875,3.17428467192712e-213,0.632540783418935,4.14991152257719e-05,0.994503071082436,2006-02-01
"1634","07331.HK",0.978318403025236,-0.0476836729314198,0.0653018693062233,4.43798473105086e-68,0.88120893573054,0.00719050108779845,0.99446782806398,2016-09-01
"1635","07333.HK",0.857929771270948,-0.0348622039548964,0.0558873681255464,3.94958727827138e-06,0.0815721197258882,0.273175774729666,0.805191281028986,2020-07-01
"1636","07336.HK",0.97969090465479,-0.029180702713673,0.0744279014141167,3.76286689266452e-59,0.702788886235812,0.445036596734344,0.993289288579452,2017-03-01
"1637","00736.HK",0.975581991260163,-0.0838478344151777,0.315597473471003,5.99335617824967e-124,0.548469497963503,5.98257739598071e-16,0.950453779741327,2006-02-01
"1638","07362.HK",0.982265681679504,-0.0236595987604568,0.0763616900422233,1.29262161950467e-58,0.595300332300845,0.526940024512626,0.992983707009298,2017-03-01
"1639","00737.HK",1.00669378900008,0.00526590452445221,0.0434928964602662,2.95688528139079e-50,0.184406770927029,0.444949961607028,0.998189624224458,2018-09-01
"1640","07373.HK",0.883581950203108,-0.0473597515541312,0.0634199535070467,1.15240815091847e-05,0.085088818155242,0.536152563942342,0.775186232449795,2020-07-01
"1641","00738.HK",1.00535478533,0.0103846639014554,0.0945118323394997,1.95066063724296e-222,0.317498866171312,0.000917408744181426,0.995618142353498,2006-02-01
"1642","07388.HK",0.977806199191142,-0.0294621153470308,0.100536247034941,3.99285265894833e-52,0.48363281137368,0.116908087812913,0.987827897987088,2017-03-01
"1643","00743.HK",0.961910143865957,-0.0274563807276482,0.0914294348031095,1.80833723656086e-69,0.904118702981984,0.244111251658359,0.988498448111504,2015-10-01
"1644","00745.HK",0.977758804178954,-0.0369116277326677,0.249416649165005,1.77074318845609e-142,0.632172227652335,6.18661600272117e-13,0.968609334586598,2006-02-01
"1645","00746.HK",1.00585507655376,0.0184075396324563,0.110435458515448,6.77236941556998e-210,0.77936305364869,1.50167032123368e-08,0.99403497659279,2006-02-01
"1646","00747.HK",1.00078927531792,-0.00967592676540986,0.115305841997093,5.26358887202349e-206,0.472130546795542,3.90866531881732e-15,0.993436416856063,2006-02-01
"1647","00075.HK",0.998107205152383,0.00548725456840838,0.0890781793618173,1.22061533901943e-226,0.520486101888102,8.82485173072319e-13,0.996050940554803,2006-02-01
"1648","00750.HK",1.09663982607067,0.0920903083046005,0.143718645999176,1.00609398321321e-18,0.133647172853328,0.191583942256691,0.975164351960583,2019-10-01
"1649","07500.HK",0.973107157879454,-0.0235270732809445,0.121307994480805,1.46992098841093e-25,0.439103717869435,0.327197180388293,0.984132236048232,2019-05-01
"1650","00751.HK",1.0156972197643,0.0257420523753565,0.117492473165382,1.10659861539589e-205,0.477084744244502,2.67859831217567e-08,0.993380507293016,2006-02-01
"1651","00752.HK",1.00721968868224,0.0093548771503963,0.0863370336270635,6.64494338679024e-230,0.852113766673793,0.00312194890275167,0.996355053549407,2006-02-01
"1652","07522.HK",0.983546372777236,-0.082257975968972,0.120082112467731,2.38144211344715e-21,0.417656755843789,0.191776020295409,0.982122973405936,2019-09-01
"1653","00753.HK",0.996894387913104,-0.0013777168455965,0.0825114871644886,9.74156651834657e-233,0.554801895999367,0.313418787536688,0.996601486975006,2006-02-01
"1654","00754.HK",1.0094755550854,0.0110817087618655,0.111390894701384,1.72229729104552e-209,0.467618606286088,8.77174010962127e-06,0.993973053700632,2006-02-01
"1655","07552.HK",-1.39777983552653,-0.278358739958477,0.141159658865793,0.228667404310182,0.465549556282072,0.348841396397281,0.249083066957492,2020-12-01
